車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GT-R,情報なし,3.8 プレミアムエディション Tスペック 4WD MY22　スポリセ　特別塗装色　禁煙車　NCCB,2123.4万円,2022(R04),596km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.292643,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU5788559650/index.html
GT-R,情報なし,3.8 NISMO スペシャル エディション 4WD 登録済未使用車　NISMOスポリセ　Dメンテ,3265万円,2022(R04),69km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.295282,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6272423005/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD ツインターボ ・BOSEサウンドシステム,839.9万円,2009(H21),1万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.297946,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6340111582/index.html
GT-R,情報なし,3.8 ブラックエディション 4WD NISMO用20AW　サッチャム車両防盗システム,1016万円,2015(H27),1.9万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.300714,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6261030464/index.html
GT-R,情報なし,3.8 ブラックエディション 4WD MY24室内展示Pガラス純ナビRECARO調シート,1964.4万円,2024(R06),0.2万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.303433,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6167559653/index.html
GT-R,情報なし,3.8 ピュアエディション 4WD MY17室内展示ワンオーナPガラスBカメラ,1299.5万円,2017(H29),0.6万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.306173,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6309719602/index.html
GT-R,情報なし,3.8 4WD NEW内装貼替150万(アルカンタラ&レザー),999.8万円,2008(H20),3.7万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.308897,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6417252384/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD MY15LEDヘッドライト NISMOキャタライザー,815.8万円,2008(H20),交換車5.8万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.311597,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6062867806/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD 登録済未使用車　ブルーヘブンインテリア,2038万円,2025(R07),60km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.314253,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6418742243/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD MY14室内展示ファッショナブルインテリア,1016.8万円,2013(H25),2.8万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.316976,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6343338473/index.html
GT-R,情報なし,3.8 ピュアエディション 4WD 2017モデル nismoスポーツリセッティング,1248.8万円,2017(H29),2万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.319637,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6366512439/index.html
GT-R,情報なし,3.8 NISMO 4WD ニスモスポーツリセッティング 専用シート,2130万円,2018(H30),0.2万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.322257,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6406691637/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD ファッショナブルインテリア　ナビ・BOSE,1591.1万円,2019(R01),2.9万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.324892,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU4700321236/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD 24モデル BOSEサウンド サッチャム 禁煙車,1806.2万円,2023(R05),0.6万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.327578,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416955760/index.html
GT-R,情報なし,3.8 ピュアエディション 4WD MY16室内展示PガラスBカメラ純正ナビTVETC,1311.1万円,2016(H28),2万km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.330282,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410472151/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD 2024モデル 1オーナー 本革シート BOSE,1816.9万円,2023(R05),103km,なし,フロアMTモード付6AT,3800CC,2025-07-15T23:37:33.333006,2025-07-15,23:37:33,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6405485987/index.html
