車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
ランドクルーザープラド,情報なし,2.7 TX 4WD サンルーフアクセル踏み間違いバックカメラ,414.1万円,2021(R03),1.8万km,なし,フロア6AT,2700CC,2025-08-06T23:32:38.421256,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6358337267/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ マットブラック エディション 4WD T-ConnectSDナビ&プラドスーパーライブサウンドシステム　ムーンルーフ　ルーフレール　パノラミックビューモニター　ブラインドスポットモニター　シートヒーター&ベンチレーション　ウッド調ステアリング,478万円,2023(R05),1.1万km,なし,フロアMTモード付6AT,2700CC,2025-08-06T23:32:38.425018,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6462377491/index.html
ランドクルーザープラド,情報なし,2.8 TX Lパッケージ ディーゼルターボ 4WD Bluetoothオーディオ　ドラレコ　ETC,468.9万円,2020(R02),2.6万km,なし,フロア6AT,2800CC,2025-08-06T23:32:38.427687,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6454116483/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 5人乗り/サンルーフ/シートエアコン,469.8万円,2023(R05),2.7万km,なし,フロアMTモード付6AT,2700CC,2025-08-06T23:32:38.430369,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6323969314/index.html
ランドクルーザープラド,情報なし,ランドクルーザープラド TX,260.5万円,2013(H25),5.8万km,なし,フロア4AT,2700CC,2025-08-06T23:32:38.433056,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6377864002/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD MR　SDナビ　Bモニター　ETC　ドラレコLED,356.3万円,2019(R01),5.3万km,なし,フロア6AT,2700CC,2025-08-06T23:32:38.435719,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6331871103/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD サンルーフ　ルーフレールATタイヤ17AW,414.4万円,2020(R02),2.4万km,なし,フロアMTモード付6AT,2700CC,2025-08-06T23:32:38.438319,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6351452133/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD メーカー9型ナビ 全周囲カメラ 衝突軽減 寒冷地仕様　レーダークルーズ　ETC　LEDヘッド・フォグ　ドラレコ　AppleCarPlay オートハイビーム 純正17インチAW オートエアコン,409.9万円,2023(R05),3.1万km,なし,フロアMTモード付6AT,2700CC,2025-08-06T23:32:38.441037,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6392686703/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ マットブラック エディション 4WD サンルーフ　マルチテレイン　BSM　寒冷地　純正ディスプレイオーディオナビ　サンルーフ　ブラインドスポット　　7人乗　ベージュ内装　シートヒーター　シートクーラー　ETC2.0　ヘッドライトウォッシャー,488万円,2023(R05),1.7万km,なし,フロアMTモード付6AT,2700CC,2025-08-06T23:32:38.443752,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6371519738/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 電動ムーンルーフ　ブラックルーフレール　スペアタイヤ　寒冷地仕様　スペアタイヤ　ガナドールマフラー レーダークルーズコントロール ETC セキュリティー　リフトアップ　ハイラックス純正アルミホイール　HDMI,483万円,2022(R04),0.3万km,なし,フロア6AT,2700CC,2025-08-06T23:32:38.446514,2025-08-06,23:32:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6469392279/index.html
