車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GS,情報なし,350 Iパッケージ 純正ナビTV3眼LEDヘッドBカメラETC茶革,181.2万円,2016(H28),7.4万km,なし,フロアMTモード付8AT,3500CC,2025-07-30T23:32:09.825771,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6439014940/index.html
GS,情報なし,250 Iパッケージ 禁煙車/記録簿21回/スピンドルVer/黒本革,120.7万円,2012(H24),8.1万km,なし,フロアMTモード付6AT,2500CC,2025-07-30T23:32:09.828654,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6417080461/index.html
GS,情報なし,350 バージョンL 禁煙車/スピンドル/点検整備記録簿13枚,139.8万円,2013(H25),6.8万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.831736,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428616527/index.html
GS,情報なし,350 4WD 寒冷地仕様 純正ナビ バックカメラ,309.7万円,2018(H30),3.3万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.834630,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6374633994/index.html
GS,情報なし,350 バージョンL 冷暖橙本革シート ナビ 地デジ BT音楽 ETC,107.8万円,2012(H24),7.6万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.837495,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376287753/index.html
GS,情報なし,350 Iパッケージ 4WD ワンオーナー ナビTV 寒冷地 バックカメラ,289.8万円,2016(H28),2.3万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.840416,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6400041205/index.html
GS,情報なし,250 Iパッケージ コーナーセンサー/シートエアコン/ETC,129.9万円,2012(H24),4.3万km,なし,フロア6AT,2500CC,2025-07-30T23:32:09.844076,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6459256853/index.html
GS,情報なし,350 Fスポーツ 赤革冷暖 サンル-フ LEDヘッド Bカメラ ETC,147万円,2013(H25),9.4万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.846909,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364623546/index.html
GS,情報なし,350 Iパッケージ 禁煙/マークレビンソン/スピンドル/黒本革,104.3万円,2012(H24),12.6万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.849756,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428616592/index.html
GS,情報なし,350 バージョンL 禁煙/スピンドルVer/整備記録9回/LEDライト,119.8万円,2012(H24),10万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.852571,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6441993976/index.html
GS,情報なし,250 バージョンL 禁煙/スピンドルED/整備点検記録簿29枚,149.8万円,2012(H24),6.7万km,なし,フロアMTモード付6AT,2500CC,2025-07-30T23:32:09.855331,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428460928/index.html
GS,情報なし,350 Iパッケージ メーカーナビ バックカメラ,174.9万円,2014(H26),4.5万km,なし,フロアMTモード付8AT,3500CC,2025-07-30T23:32:09.858182,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6446014228/index.html
GS,情報なし,350 Iパッケージ 4WD 純正ナビ サンルーフ ドラレコ 衝突軽減,349.8万円,2017(H29),2.2万km,なし,フロアMTモード付6AT,3500CC,2025-07-30T23:32:09.862205,2025-07-30,23:32:09,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376451810/index.html
