車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GRヤリス,情報なし,1.6 RZ ハイ パフォーマンス 4WD ナビ&コンフォートPG クーリングPG 寒冷地,598.2万円,2025(R07),20km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.960165,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6252876900/index.html
GRヤリス,情報なし,1.6 RC  4WD 6MT ターボ IC冷却スプレー 18インチPKG,404.8万円,2024(R06),211km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.963019,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387741327/index.html
GRヤリス,情報なし,1.6 RZ ハイ パフォーマンス 4WD 現行型 ナビ&コンフォートPG 6速MT,573.2万円,2024(R06),60km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.965880,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6283842658/index.html
GRヤリス,情報なし,1.6 RC 4WD キーレス WエアB/ABS 縦引サイドブレーキ,415.5万円,2025(R07),0.2万km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.968103,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364470196/index.html
GRヤリス,情報なし,1.6 RC 4WD 6MT LEDヘッドライト 登録済未使用車,415.9万円,2025(R07),22km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.970313,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6316190977/index.html
GRヤリス,情報なし,1.6 RC  4WD 9インチメモリーナビ/LEDヘッドライト/ETC,402.2万円,2024(R06),0.2万km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.973040,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6405112069/index.html
GRヤリス,情報なし,1.6 RC  4WD GRスポーツ　6速ミッション,396.5万円,2024(R06),0.2万km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.975743,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395637891/index.html
GRヤリス,情報なし,1.6 RZ ハイ パフォーマンス 4WD MC後 寒冷地仕様 サブラジ コンフォートPKG,625万円,2025(R07),13km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.978594,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6352991154/index.html
GRヤリス,情報なし,1.6 RC  4WD 6速MT 18インチパッケージ オートエアコン,374.9万円,2023(R05),0.7万km,なし,フロア6MT,1600CC,2025-07-08T23:33:47.982146,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6397579944/index.html
GRヤリス,情報なし,1.6 RZ ハイ パフォーマンス 4WD JBLサウンド　GRエアロパーツ,379.9万円,2023(R05),0.5万km,あり,フロア6MT,1600CC,2025-07-08T23:33:47.984849,2025-07-08,23:33:47,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S252&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6395797307/index.html
