車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GR86,情報なし,2.4 RZ 6MTLEDヘッドハーフレザークルコンETC,249.8万円,2022(R04),5.1万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.612388,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407482302/index.html
GR86,情報なし,2.4 RZ 6MT スマートキー LEDヘッドライト,299.2万円,2022(R04),0.7万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.614587,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364344103/index.html
GR86,情報なし,2.4 RC 6速MT 柿本マフラー TVナビ Bカメラ 禁煙車,276.4万円,2023(R05),1.4万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.617307,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6148225392/index.html
GR86,情報なし,2.4 RZ 認定中古車,304.3万円,2022(R04),1.4万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.620006,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6419944013/index.html
GR86,情報なし,2.4 RZ 6MT9型ナビBカメラTVヒーター付半革ETC18AW,288.8万円,2022(R04),1.9万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.622686,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430339047/index.html
GR86,情報なし,2.4 RZ MT　純正SDナビ　バックカメラ　シートヒーター　LEDヘッド　クルーズコントロール　後側方警戒支援　純正18インチAW　デュアルオートエアコン　革巻きステアリング　スマートキー　アルミペダル　禁煙車,296.9万円,2023(R05),1.6万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.625392,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387886851/index.html
GR86,情報なし,2.4 SZ 6速MT　ワンオーナー車　純正17インチAW　TVナビ　バックカメラ　クルーズコントロール　Bluetooth接続　スマートキー　ETC付　LEDヘッド　オートライト　オートエアコン　プッシュスタート,263.4万円,2022(R04),3.6万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.628107,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6277631538/index.html
GR86,情報なし,2.4 RC 6速MT純正ナビTVバックカメラETC,292.7万円,2023(R05),0.4万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.630812,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6335487364/index.html
GR86,情報なし,2.4 RZ 6MT 禁煙9型SDナビ Bカメラ フルセグTV ETC,305万円,2022(R04),1.2万km,なし,フロア6MT,2400CC,2025-08-02T23:33:12.633628,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6372648335/index.html
GR86,情報なし,2.4 RZ シートヒーター　ETC,299.7万円,2023(R05),2.1万km,なし,フロア6AT,2400CC,2025-08-02T23:33:12.636250,2025-08-02,23:33:12,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S255&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6167548319/index.html
