車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
ランドクルーザープラド,情報なし,2.8 TX ディーゼルターボ 4WD 純正ナビ/全周囲/マルチテレインモニター,459.8万円,2023(R05),1.2万km,なし,フロア6AT,2800CC,2025-07-17T23:32:35.422321,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6386283348/index.html
ランドクルーザープラド,情報なし,ランドクルーザープラド TX,260.5万円,2013(H25),5.8万km,なし,フロア4AT,2700CC,2025-07-17T23:32:35.425256,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6377864002/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD 禁煙 純正ナビ 衝突軽減 サンルーフ ETC,429.9万円,2023(R05),1.1万km,なし,フロア6AT,2700CC,2025-07-17T23:32:35.428241,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6397579374/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD 1オーナー 中期 ルーフレール ベージュ内装,259.8万円,2014(H26),5.6万km,なし,フロア4AT,2700CC,2025-07-17T23:32:35.431071,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6389165460/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 禁煙 7人 サンルーフ BIGX9型ナビ 衝突軽減,442.9万円,2023(R05),2.7万km,なし,フロア6AT,2700CC,2025-07-17T23:32:35.433863,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6195366536/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD ナビ　カメラ　パワーシート　ETC,374万円,2019(H31),5.5万km,なし,フロア6AT,2700CC,2025-07-17T23:32:35.436142,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6242450697/index.html
ランドクルーザープラド,情報なし,2.8 TX Lパッケージ ディーゼルターボ 4WD 黒革 レーダークルーズコントロール LED,369.8万円,2019(H31),10.8万km,なし,フロアMTモード付6AT,2800CC,2025-07-17T23:32:35.438970,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6363515870/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 1オナ 純ナビ 本革 ドラレコ ACC LKA LED,449.8万円,2023(R05),1.5万km,なし,フロアMTモード付6AT,2700CC,2025-07-17T23:32:35.441713,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6423985541/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ ブラック エディション 4WD サンルーフ 純正9型DA 全周囲カメラ BSM,439万円,2021(R03),4.3万km,なし,フロア6AT,2700CC,2025-07-17T23:32:35.444903,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6307816396/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD 全方位/クルコン/ディスプレイオーディオ,424.6万円,2023(R05),0.7万km,なし,フロアMTモード付6AT,2700CC,2025-07-17T23:32:35.447554,2025-07-17,23:32:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6415523468/index.html
